Restaurant Name,Address,Predictions
Maria's Mexican Restaurant & Bakery,6055 E Lake Mead Blvd,Fail
Macayo Vegas,1741 E Charleston Blvd,Fail
Moe's Southwest Grill,"6910 S Rainbow Blvd, Ste 100",Fail
Rigos Taco,3140 S Valley View Blvd,Fail
Joker's,1631 N Decatur Blvd,Fail
Cevicheria El Diamante,2457 E Tropicana Ave,Fail
Culichi Town,2400 N Rancho Dr,Fail
Chicken Now,7400 Las Vegas Blvd S,Fail
China Roll,"3310 S Nellis Blvd, Unit 21",Fail
Kimchi Korean Bbq,"3049 Las Vegas Blvd, Ste 20",Fail
Shawarma Plus,6530 S Decatur Blvd,Fail
Kinnaree Thai and Vegetarian,7365 W Sahara Ave,Fail
Roberto's Taco Shop,"6320 Simmons St, Ste 130",Fail
Blizz Frozen Yogurt - Bally's Hotel & Casino,3645 South Las Vegas Blvd,Fail
Ross J's Aloha Grill,"4650 E Sunset Rd, Ste A",Fail
Chin Chin,3790 Las Vegas Blvd S,Fail
Fiesta Henderson,777 W Lake Mead Pkwy,Fail
Pub 365,255 E Flamingo Rd,Fail
Tacos Mexico,1800 Las Vegas Blvd S,Fail
Daisho Sushi,7435 S Eastern Ave,Fail
Ventano Italian Grill & Seafood,191 S Arroyo Grande Blvd,Fail
Carl's Jr.,5080 E Bonanza Rd,Fail
Thai Original BBQ,2680 S Maryland Pkwy,Fail
Frankie's Pizza,"8505 S Eastern Ave, Ste 103",Fail
Jollibee,"9430 W Sahara Ave, Ste 100A",Fail
Chubby's Pub,4702 E Flamingo Rd,Fail
Spicy Tuna Sushi,"10345 S Eastern Ave, Ste 190",Fail
China One,2239 N Rampart Blvd,Fail
Vegas Noodle House,3516 Wynn Rd,Fail
Siena Italian Authentic Trattoria and Deli,9500 W Sahara Ave,Fail
Macayo's Mexican Restaurant,8245 W Sahara Ave,Fail
China Wan Wan,"771 E Horizon Dr, Unit 168",Fail
Pieology Pizzeria,"365 Hughes Center Dr, Ste 130",Fail
Kaba Curry,"5115 Spring Mountain Rd, Ste 234",Fail
Noon's Boba Cafe,1650 W Warm Springs Rd,Fail
La Original Michoacana,"5105 E Sahara Ave, Ste 102",Fail
Hash House A Go Go,6800 W Sahara Ave,Fail
Pho 88,7920 S Rainbow Blvd,Fail
Mix Zone Cafe,"2202 W Charleston Blvd, Ste 5",Fail
Goldilocks,"2797 S Maryland Pkwy, Ste 18",Fail
Nobu Las Vegas,4455 Paradise Rd,Fail
Greens and Proteins,9809 W Flamingo Rd,Fail
China One,4990 W Craig Rd,Fail
Griddlecakes,9480 S Eastern Ave,Fail
Grand Café,2101 Texas Star Ln,Fail
Gourmet Wok,7638 Westcliff Dr,Fail
Go Vegan Cafe,"5875 S Rainbow Blvd, Ste 104",Fail
Kusina Ni Lorraine,3275 W Ann Rd,Fail
Santarosa Taco Stop,866 E Lake Mead Pkwy,Fail
Tokyo Peking Asian Restaurant,"750 E Pyle Ave, Ste 108-109",Fail
Johnny Mac's,842 S Boulder Hwy,Fail
Chang's Hong Kong Cuisine,4670 S Decatur Blvd,Fail
Harvest Cafe,4835 W Craig Rd,Fail
Church's Chicken,1625 E Charleston Blvd,Fail
Tacos El Jefe's,"6475 W Charleston Blvd, Ste 120",Fail
Roberto's Taco Shop,2207 E Windmill Ln,Fail
Rice Trax Teriyaki Grill,7745 S Rainbow Blvd,Fail
Nanay Gloria,"5980 W Spring Mountain Rd, Ste 2 C",Fail
McDonald's,3010 Las Vegas Blvd N,Fail
Fukumimi Ramen,4860 S Eastern Ave,Fail
Cold Stone Creamery,"9350 W Sahara Ave, Ste 140",Fail
D'Pinoy Joint,"7680 S Las Vegas Blvd, Ste 202",Fail
Cafe Rio,9002 W Sahara Ave,Fail
Panda Express,7017 Spring Mountain Rd,Fail
All Star Donuts,1615 Las Vegas Blvd S,Fail
Gourmet China Bistro,"6360 N Simmons St, Ste 110",Fail
Cardenas Market,4700 Meadows Ln,Fail
Pt's Pub,"4825 W Flamingo Ave, Ste 3",Fail
Burger King,1125 E Charleston Blvd,Fail
Panda Express,2220 E Craig Rd,Fail
Thai Place,4019 S Maryland Pkwy,Fail
China Star,1075 W Craig Rd,Fail
Capriotti's Sandwich Shop,"771 East Horizon Drive, Suite 128",Fail
Eats Italian,3355 Las Vegas Blvd S,Fail
L&L Hawaiian Barbecue,"2520 E Craig Rd, Ste 105",Fail
Vesta Coffee Roasters,1114 S Casino Center Blvd,Fail
Viet Bistro,7175 W Lake Mead Blvd,Fail
Habaneros Taco Grill,4225 S Fort Apache Rd,Fail
Roberto's Taco Shop,907 S Rainbow Blvd,Fail
Fat Boy,"4425 Stewart St, Ste 107",Fail
Brothers Pizza,"7575 S Rainbow Blvd, Ste 104",Fail
Hikari,4175 S Buffalo Dr,Fail
TC's Rib Crib,3655 S Durango Dr,Fail
Streets of New York,7570 Norman Rockwell Lane,Fail
Surang's Thai Kitchen,"5455 S Fort Apache Rd, Ste 105",Fail
Jollibee,"3890 S Maryland Pkwy, Ste 137",Fail
Tacos El Rey,3969 S Maryland Pkwy,Fail
Chicago Style Taco Shop,5660 Boulder Hwy,Fail
Mochiko Chicken,2101 S Decatur Blvd,Fail
Pho Bosa,3711 S Valley View,Fail
Capriotti's Sandwich Shop,"9210 S Eastern Ave, Ste 115",Fail
PT's,6055 E Lake Mead Blvd,Fail
Turmeric Flavors of India,700 E Fremont St,Fail
El Tinajon Cuban Food,3762 E Flamingo Rd,Fail
Amano,5601 N Tenaya Way,Fail
Thai Thai Restaurant,"10890 S Eastern Ave, Ste 109",Fail
Taco Time,8050 Dean Martin Dr,Fail
Krung Thai Restaurant,4130 S Decatur Blvd,Fail
Bob's East Side Deli,2900 E Patrick Ln,Fail
IHOP,5170 S Fort Apache Rd,Fail
Kapuso Kapamilya,4300 Spring Mountain Rd,Fail
Restaurante Guadalajara,1725 N Nellis Blvd,Fail
Aloha Specialties,12 E Ogden Ave,Fail
Fat Boy,"1570 W Horizon Ridge, Ste 160",Fail
Mandarin Express,"6895 E Lake Mead Blvd, Ste A3",Fail
Golden Phoenix Chinese Cuisine,2345 E Centennial Pkwy,Fail
Barbacoa Kings,2115 N Decatur Blvd,Fail
Grand Sign Kitchen,"7480 S Rainbow Blvd, Ste B",Fail
Thai Pan Cuisine,463 S Decatur Blvd,Fail
The Jade Restaurant,"5300 Spring Mountain Rd, Ste 107",Fail
La Bocce,310 E Warm Springs Rd,Fail
Tasty China,"4444 W Craig Rd, Ste 126",Fail
Panera Bread,9911 S Eastern Ave,Fail
Pancho's,11020 Lavender Hills Dr,Fail
El Pollo Mobile,"3347 E Russell Rd, Ste C2",Fail
San Salvador Restaurant,2211 S Maryland Pkwy,Fail
Boathouse Asian Eatery Las Vegas,2411 W Sahara Ave,Fail
Florida Cafe Cuban Bar & Grill,1401 Las Vegas Blvd S,Fail
Sushi Hero,"3870 E Flamingo Rd, Ste A1",Fail
El Super,4610 W Sahara Ave,Fail
Great Wall Chinese Restaurant,2202 W Charleston Blvd,Fail
Bachi Burger,"470 E Windmill Ln, Ste 100",Fail
Pt's Gold,6610 S Ft Apache Rd,Fail
8th Ave Pizza,"11370 Southern Highlands Pkwy, Ste 110",Fail
McDonald's,2340 S Rainbow,Fail
Asian Garden,"560 N Nellis Blvd, Ste E10",Fail
Greens and Proteins,6180 N Decatur,Fail
Simon & Joe's Eatery,"3720 W Tropicana Ave, Ste 3",Fail
Sakina Thai Cuisine,4251 W Sahara Ave,Fail
KFC,4924 Boulder Hwy,Fail
La Flor De Michoacan,3760 E Desert Inn Rd,Fail
Dragon Wok,"3350 Novat St, Ste 135",Fail
Carmine's Pizza Kitchen,2211 Maryland Pkwy,Fail
Tortas El Rey,2300 E Lake Mead Blvd,Fail
China Hot Wok,"7121 W Craig Rd, Ste 112",Fail
Jersey Mike's Subs,"2101 N Rainbow Blvd, Ste 101",Fail
Soul Foo Young,1216 W Owens Ave,Fail
Rachel's Kitchen,3330 S Hualapai Way,Fail
Thai Style Noodle House,2267 N Rampart Blvd,Fail
Rumbi Island Grill,"4680 S Maryland Pkwy, Ste 300",Fail
Snack Bar,"1220 E Harmon Ave, Ste A",Fail
Capriotti's Sandwich Shop,4480 Paradise Rd,Fail
Paina Cafe,"6870 Spring Mountain Rd, Ste G",Fail
Sinaloa Tacos,"4040 W Craig Rd, Ste 117",Fail
D' Pinoy Joint,"6820 W Flamingo Rd, Ste A",Fail
Tea Space Sunset Park,"7425 S Eastern Ave, Ste 102",Fail
Pizzarelli,1288 S Nellis Blvd,Fail
Domino's Pizza,5124 Camino Al Norte,Fail
Ohjah Japanese Steakhouse Sushi & Hibachi Flamingo,10144 W Flamingo Rd,Fail
Pop Up Pizza,1 S Main St,Fail
Wendy's,603 W Lake Mead Pkwy,Fail
Tony's Mexican Food 2,"3053 W Craig Rd, Ste A",Fail
Nagano Sushi & Grill,4161 S Eastern Ave,Fail
Chocolate Chair- Las Vegas,3635 Las Vegas Blvd,Fail
Domino's Pizza,4966 S Maryland Pkwy,Fail
Natalie Littlefield's Catering Unlimited,"953 E Sahara Ave, Ste A1",Fail
Sabatino's Authentic NY Pizzeria,7660 W Cheyenne Ave,Fail
Angelina's Pizzeria,5750 S Decatur Blvd,Fail
Papa John's Pizza,3460 E Sunset Rd,Fail
1900 Asian Cuisine,"5115 Spring Mountain Rd, Ste 103",Fail
Roberto's Taco Shop,3435 N Nellis Blvd,Fail
Rachel's Kitchen,"150 Las Vegas Blvd N, Ste 160",Fail
Teriyaki House,6181 S Rainbow Blvd,Fail
Pizza Rock,201 N 3rd St,Fail
Cafe Rio,2600 W Sahara Ave,Fail
China A Gogo,170 N Boulder Hwy,Fail
Roberto's Taco Shop,"10430 Bermuda Rd, Ste 1",Fail
Giordanos - Las Vegas,"3619 Las Vegas Blvd S, Ste 200",Fail
