,business_id,categories,clean_categories,is_restaurants,is_food,is_fast_food,is_grocery,is_convenience_store,is_adult,is_bakeries,is_buffet,is_sushi_bar,is_alcohol,is_pizza,is_coffee_and_tea,is_ice_cream_deserts,is_sandwiches,is_burgers,is_vietnamese,is_japanese,is_thai,is_italian,is_korean,is_american,is_chinese,is_mexican,address_x,facility_id,location_name,name,restaurant_name,address,is_valid
0,PZ-LZzSlhSe9utkQYU8pFg,"Restaurants, Italian","['Restaurants', ' Italian']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"1775 E Tropicana Ave, Ste 29",FA0005923,Carluccios,Carluccio's Tivoli Gardens,Carluccio's Lounge Bar,1775 E Tropicana Ave,y
1,PZ-LZzSlhSe9utkQYU8pFg,"Restaurants, Italian","['Restaurants', ' Italian']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"1775 E Tropicana Ave, Ste 29",FA0005923,Carluccios,Carluccio's Tivoli Gardens,Carluccio's Restaurant,1775 E Tropicana Ave,y
2,tstimHoMcYbkSC4eBA1wEg,"Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife","['Mexican', ' Restaurants', ' Patisserie/Cake Shop', ' Food', ' Bars', ' Nightlife']",1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6055 E Lake Mead Blvd,FA0006354,Mama Marias,Maria's Mexican Restaurant & Bakery,Mama Maria's,6055 E Lake Mead Blvd C,y
3,NBn4hgfGtNz91k3VsDZlmw,"Local Services, Food Banks, Community Service/Non-Profit","['Local Services', ' Food Banks', ' Community Service/Non-Profit']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4190 N Pecos Rd,FA0069108,THREE SQUARE - SFSP,Three Square,THREE SQUARE CATERING,4190 N PECOS Rd,y
4,kANF0dbeoW34s2vwh6Umfw,"Fast Food, Food, Restaurants, Ice Cream & Frozen Yogurt","['Fast Food', ' Food', ' Restaurants', ' Ice Cream & Frozen Yogurt']",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6125 Spring Mountain Rd,FA0008571,Dairy Queen #17798,Dairy Queen,Dairy Queen #17798,6125 Spring Mountain Rd,y
5,YK5eFV8uS1bCmp8GeiQ-Qg,"Food, Donuts","['Food', ' Donuts']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3650 E Flamingo Rd,FA0010746,All Star Donuts #2,All Star Donuts & Kolaches,All Star Donuts #2,3650 E Flamingo Rd,y
6,sKhDrZFCJqfRNylkHrIDsQ,"Food, Coffee & Tea","['Food', ' Coffee & Tea']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1990 Village Center Circle, Suite 1",FA0004625,Starbucks Coffee Company #5561,Starbucks,STARBUCKS #5561 SEASONAL (7/30/14-11/30/14),1990 Village Center Cir,y
7,sKhDrZFCJqfRNylkHrIDsQ,"Food, Coffee & Tea","['Food', ' Coffee & Tea']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1990 Village Center Circle, Suite 1",FA0004625,Starbucks Coffee Company #5561,Starbucks,Starbucks Coffee Company #5561,1990 Village Center Cir,y
8,bJP4l_BGq2CudEu0m-wNjg,"Restaurants, Pizza, Italian, American (New)","['Restaurants', ' Pizza', ' Italian', ' American (New)']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"Artisan Hotel, 1501 W Sahara Ave",FA0010118,ARTISAN HOTEL,Artisan Fine Dining Room,ARTISAN RESTAURANT,1501 W Sahara Ave,y
9,bJP4l_BGq2CudEu0m-wNjg,"Restaurants, Pizza, Italian, American (New)","['Restaurants', ' Pizza', ' Italian', ' American (New)']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"Artisan Hotel, 1501 W Sahara Ave",FA0010118,ARTISAN HOTEL,Artisan Fine Dining Room,ARTISAN LOUNGE,1501 W Sahara Ave,y
